FISH 200 KNIFE,[]
LED F8T5/CW,"['https://www.greenelectricalsupply.com/satco-12-inch-4w-f8t5-cw-led-mini-t5-tube-ballast-bypass-4000k.aspx', 'https://www.citylightsusa.com/satco-12-in-f8t5-cw-t5-led-tube-4w-400-lumens-4000k-mini-bi-pin-ballast-bypass-double-ended-shatterproof-glass-led-linear-lamp/', 'https://www.bulbs.com/product/F8T5-CW']"
GE MVR250/VBU/PA,"['https://www.1000bulbs.com/product/2537/MH-26317.html', 'https://www.ebay.com/p/1600899127', 'https://www.walmart.com/ip/GE-LIGHTING-Pulse-Arc-Metal-Halide-Lamp-ED28-250W-MVR250-VBU-PA/120879229?wmlspartner=wlpa&selectedSellerId=10534', 'https://www.turtle.com/981035/Product/GE-MVR250/VBU/PA', 'https://www.scottelectricusa.com/online-store/product/ge-general-electric-lamp-26317-mvr250-vbu-pa-250-watt-quartz-metal-halide-mogul-e39-ed28-17000-lumen-4200k/367499']"
ENT 011482505,"['https://shop.glasupply.com/buy/product/011482505-ENT-SCFM6-GREY-SEP-END/131808', 'https://franklinempire.com/en/011482505-3292-011482505.html', 'https://www.platt.com/platt-electric-supply/Accessories-Terminal-Blocks-End-Sections/Entrelec/0114-825-05/product.aspx?zpid=20062', 'http://www.partlancer.com/sitemap/sitemap_2.php']"
BLI BVT212YZN,['https://www.platt.com/platt-electric-supply/Pipe-Conduit-Clamps-Cushioned-Strap/Eaton-B-Line/BVT212YZN/product.aspx?zpid=629922']
3M 17-034,"['https://www.amazon.com/178-1100-Freezer-Tape-pack/dp/B072LMG1Q7', 'https://www.rshughes.com/p/3M-Temflex-1700-Black-Insulating-Tape-3-4-In-Width-X-60-Ft-Length-7-Mil-Thick-Electrically-Insulating-69764/054007_69764/']"
SIE B32,"['https://www.cesco.com/Siemens-B32-Siemens-B32-ITE-Panelboard-Box/p2061171', 'https://ebhorsman.com/category-items?type=panel-boards&cat=2850']"
EFX EF16,"['https://www.mauriceelectric.com/electric-flex-80164-gray-type-ef-16-liquidtight-flexible-conduit-2-inch-x-100-ft-reel-liquatite-reg-327538', 'https://www.scottelectricusa.com/online-store/product/1-2-inch-lt-jic-type-ef-metallic-flexible-liquidtite-conduit-1-2-inch-/91805']"
NEE 1906,"['https://www.galco.com/buy/Neer/1906', 'https://www.elliottelectric.com/P/Item/BRI/1906/', 'https://www.amazon.com/Gedney-TH-1903-Strap-Height-Length/dp/B06Y665W5M', 'https://www.mayerelectric.com/Product/APPLETON-EGS-1906-2-IN-EMT-1-HOLE-STRAP-STL-687855219063']"
NEE 1803,"['https://www.platt.com/platt-electric-supply/Straps-EMT-IMC-Rigid-1-Hole-Steel/Appleton/1803/product.aspx?zpid=766965', 'https://www.rexelusa.com/usr/Root-Category/Fittings/Straps/Straps---EMT-IMC-Rigid/1-Hole---Steel/Appleton-1803-Rigid-Conduit-Strap%2C-1-Hole%2C-1%22%2C-Steel/p/50479', 'https://allphasemerced.portalced.com/Product/EGS/1803/', 'https://store.usesi.com/appleton-1803-zinc-plated-steel-1-hole-click-on-strap-1-inch-neer-reg-151185', 'https://www.irby.com/product/detail/EGS-Appleton-1803?s=196184', 'https://www.stateelectric.com/products/appleton-th-1803/', 'https://www.northcoast.com/product/detail/OZ-Gedney-1803/?s=122010', 'https://www.wernerelectric.com/product/Appozgcomm-1803']"
RAC 7488,"['https://www.amazon.com/Pass-Seymour-S2-35-RAC-Switch-Outlet/dp/B005YS7YR0', 'https://www.amazon.com/Carlon-BH234R-Outlet-8-Inch-Length/dp/B0007N738M', 'https://www.ebay.com/b/2-Gang-Box/42886/bn_7023318299', 'https://www.lowes.com/pd/CARLON-2-Gang-Blue-Plastic-Old-Work-Standard-Switch-Outlet-Wall-Electrical-Box/1000975972']"
HYP 220819,"['https://www.norco-inc.com/2380440/Product/Hypertherm_220819_Nozzle;_65A,_For_Use_With_Powermax65,_85,_105_Plasma_Torch', 'https://weldingdepot.ca/hypertherm-nozzle-220819-for-power-max-5-pack/']"
SIE BQD320,"['https://www.ebay.com/p/27018298018', 'https://www.rexelusa.com/p/41004/siemens-breaker-bqd-3p-20a-480vac-14ka-783643277359-bqd320']"
EFX NM13,[]
16/6SO,"['https://www.platt.com/platt-electric-supply/Rubber-Cord-SOOW-90-/Multiple/166SOOWX500MCR/product.aspx?zpid=274043', 'https://www.gexpro.com/p/1155044/16-6-so-soow-copper-500/079407260690/soowasow166blk500rl']"
UNI P2452EG,"['https://www.platt.com/platt-electric-supply/Brackets-Connectors-Strut-Inside-90-/Unistrut/P2452-EG/product.aspx?zpid=681113', 'https://www.sesco.ca/products/11-conduit-raceway-strut/05-strut-accessories/04-strut/p-dG5iZDEyMDBoczEwcGdj-1-58-x-10ft-length-pre-galvanized-slotted-unistrut']"
COO LSR04812,[]
PHL PLT32W/841/4P/ALTO,"['https://www.usa.lighting.philips.com/prof/conventional-lamps-and-tubes/compact-fluorescent-non-integrated/pl-t/pl-t-triple-4-pin-base/927911084150_NA/product', 'https://www.amazon.com/Philips-Lighting-Non-Amalgam-Compact-Fluorescent/dp/B00VM8IZNS', 'https://www.lightingsupply.com/philips-pl-t32w-841-a-4p-alto.aspx', 'https://www.lighting-spot.com/pl-t-32w-841-4p-alto.html', 'https://www.platt.com/platt-electric-supply/Fluorescent-Compact-CFL-4-Pin-Base/Philips-Lighting/PL-T-32W-841-A-4P-ALTO/product.aspx?zpid=198453']"
