EVE HDL33AINE,[]
BEL 83910,[]
GE 1835,['https://www.bulbconnection.com/product/1794-GE-27804-1835-3w-T-3-25-BA9s-Miniature-SC-Bayonet']
UNI 027NS032,[]
UNI 021N026SS,[]
RAC 1332,"['https://www.gexpro.com/usg/Root-Category/Fittings/Straps/Straps---EMT-IMC-Rigid/1-Hole---Steel/Hubbell-Raco-1332-Rigid-Conduit-Strap%2C-1-Hole%2C-1-2%22%2C-Steel/p/197992', 'https://www.rexelusa.com/s/steel-1-hole-conduit-straps?cat=9ri3hr2n', 'https://www.bptfittings.com/store/strap-one-hole-steel-size-2-1-2-inch.html', 'https://www.hubbell.com/raco/en/Products/Electrical-Electronic/Fittings/Commercial-Fittings/1337/p/140653']"
EVR CHFCEN,"['https://www.amazon.com/Energizer-Family-NiMH-Battery-Charger/dp/B0076A0L7Y', 'https://www.officesupplyhut.com/Products/Energizer-Recharge-Universal-Charger-for-NiMH-Rechargeable-AA--AAA--C--D--and-9V-Batteries---12-V-DC-Input__EVECHFC.aspx', 'https://www.opticsplanet.com/energizer-rechargeable-family-battery-charger-chm4fc.html', 'https://www.alliedelec.com/product/energizer/chfc/70145488/']"
EVR NH12BP4,"['https://www.bestbuy.com/site/energizer-recharge-power-plus-rechargeable-aaa-batteries-4-pack/4534917.p?skuId=4534917', 'https://www.walmart.com/ip/Energizer-NH12BP4-Rechargeable-NiMH-Batteries-AAA-Size-4-PK/916945163', 'https://www.amazon.com/Energizer-Ultimate-Batteries-Longest-Lasting-High-Tech/dp/B0002DUQDQ', 'https://www.adiglobaldistribution.us/Catalog/shop-brands/EVEREADY-INDUSTRIAL-ENERGIZER/ZI-NH12BP4']"
THE TP7490,"['https://www.rexelusa.com/p/553856/cooper-crouse-hinds/1-g-wp-out-box-2-dp-lug-3-4-3-hole-gray/786189070187/tp7018', 'https://www.rexelusa.com/p/466961/cooper-crouse-hinds-1-g-wp-out-box-2-dp-lug-3-4-5-hole-gray-786189070507-tp7050']"
EVR 30039800037870-P,['https://www.amazon.com/Optilux-Hella-H71070347-Xenon-Halogen/dp/B000H0RCTK']
ING 88171913,[]
14-02CMR,[]
PHL 6S6-135V,"['https://www.bulbs.com/product/6S6-120-130V', 'https://www.bulbs.com/Incandescent_Bulbs/S--6/Candelabra_(E12)-Base/results.aspx']"
BUR YA4CL6BOX,"['https://www.northcoast.com/product/detail/Burndy-YA4CL6BOX/?s=35432', 'https://www.irbyutilities.com/product/detail/Burndy-YA4CL6BOX/?s=32405', 'https://www.turtle.com/1063592/Product/burndy-ya4cl6box', 'https://www.rexelusa.com/p/104068/burndy/compression-lug-copper-1-hole-1-2-standard-barrel-4-awg/781810552551/ya4cl6box', 'https://www.springfieldelectric.com/d/Burndy-YA4CLBOX/61874', 'https://www.netwes.com/buy/product/compression-cable-lug/18861', 'https://www.gordonelectricsupply.com/p/Burndy-Ya4Cl6Box-4Awg-Cop-1H-Lug/5677611']"
PSI 2001377,[]
GE THED124050WL,"['https://www.ebay.com/itm/GENERAL-ELECTRIC-TED124050-CIRCUIT-BREAKER-480VAC-250VDC-50A/283797792069?hash=item4213aaa545:g:r6UAAOSwETteWBAZ', 'https://www.ebay.com/itm/GE-CIRCUIT-BREAKER-TED134050WL-50-AMP-480-VAC-250VDC-3-Pole-/303272724845']"
LCOM HT-CRIMP04,[]
BL 4 IN DIVIDER,['https://www.legrand.us/wire-and-cable-management/cable-tray-and-reels/wire-mesh-mounting-dropouts-and-accessories/divider-strip-pregalv-2d05w120l-923020/p/923020']
MCM 98335A074,[]
HP C6615DN,[]
E55AS-E23BC-15C,[]
APL LL67,"['https://www.elliottelectric.com/P/Item/APP/LL67/', 'https://www.platt.com/platt-electric-supply/Conduit-Bodies-Iron-Type-LL/Cooper-Crouse-Hinds/LL67/product.aspx?zpid=722952', 'https://www.eaton.com/us/en-us/skuPage.LL67.html', 'https://www.rexelusa.com/usr/Root-Category/Fittings/Conduit-Bodies/Conduit-Bodies---Iron/Conduit-Bodies---Iron---Type-LL/OZ-Gedney-LL67-2-IN-FORM7-LL-COND-BODY/p/14813', 'https://www.rexelusa.com/p/19360/thomas-betts/2inch-conduit-body-gray-iron-ll-f-7/786210933474/ll67']"
GE F96T12/CW/WM/CVG,"['https://www.amazon.com/f96t12-Fluorescent-Tubes-Light-Bulbs/s?k=f96t12&rh=n%3A495232', 'https://www.1000bulbs.com/product/117694/GE-68052.html', 'https://www.walmart.com/ip/GE-40115-F96T12-CW-WM-CVG-Straight-T12-Fluorescent-Tube-Light-Bulb/154676913']"
DWY 2005,[]
MER 9F60DNJ905,['https://www.granitecityelectric.com/index.jsp?path=product&title=9f60dnj905&part=805651']
10/2ROMEX,['https://www.ebay.com/itm/50-ft-10-2-NM-B-WG-Romex-Wire-Cable-/143757032249?_ul=IL']
PHL F96T12/CW/HO/EW,"['https://www.platt.com/platt-electric-supply/Fluorescent-Tube-T12-High-Output/Philips-Lighting/F96T12-CW-HO-EW-AL/product.aspx?zpid=407535', 'https://www.usa.lighting.philips.com/prof/conventional-lamps-and-tubes/fluorescent-lamps-and-starters/tl/high-output-t12/927895203323_NA/product', 'https://www.1000bulbs.com/product/152901/PHILIPS-381764.html', 'https://www.citylightsusa.com/philips-381764-f96t12-cw-ho-o-alto-8-ft-110-watt-4100k-7650-lumens-high-output-t12-fluorescent-tube/', 'https://www.rexelusa.com/p/200214/philips-lighting/fluorescent-lamp-high-output-95w-t12-4100k/046677266608/f96t12-cw-ho-ew-alto-15pk', 'https://www.1000bulbs.com/product/56806/FHO-25134S.html']"
