RYC HVT152G,[]
ARL 932,"['https://www.johnson-electric.com/buy/product/arl-932-1in-lb-comb-w-cvr-gasket/43161?ID=/Fittings-Boxes/Electrical-conduit-fitting-body/dept-2BR', 'https://www.basupply.com/Arlington-Fittings-932-Arlington-932-ARL-1IN-LB-COMB-W-CVR-GASKET/p2078581', 'https://www.platt.com/platt-electric-supply/Conduit-Bodies-Aluminum-Universal/Arlington/932/product.aspx?zpid=672218', 'https://www.elliottelectric.com/P/Item/ARL/932/', 'https://www.cesco.com/Arlington-Fittings-932-Arlington-932-ARL-1IN-LB-COMB-W-CVR-GASKET/p2078581', 'https://www.rexelusa.com/p/5026/arlington/conduit-body-type-universal-c-lb-ll-lr-t-size-1-aluminum/018997179029/932', 'http://www.aifittings.com/catalog/conduit-bodies/anybody-metallic-conduit-bodies/932']"
NEE RB14,"['https://www.turtle.com/1020248/Product/madison-electric-lrb-14', 'https://www.topaz-usa.com/rb14', 'https://www.elliottelectric.com/P/Item/CRS/RE63/', 'https://www.rexelusa.com/usr/Root-Category/Fittings/Bushings-K-O-Seals-Locknuts/Bushings---Reducing/Reducing-Bushings---Steel/Appleton-RB-14-Reducing-Bushing%2C-Threaded%2C-2%22-x-1%22%2C-Steel/p/51170']"
GAL 6258,"['https://www.rexelusa.com/usr/Root-Category/Connectors%2C-Crimps%2C-Termination/Grounding-Products/Ground-Rods/Ground-Rods---Copper/Galvan-6258-Ground-Rod%2C-Copper%2C-5-8%22%2C-8%27-Long/p/7592', 'https://www.gexpro.com/usg/Root-Category/Connectors%2C-Crimps%2C-Termination/Grounding-Products/Ground-Rods/Ground-Rods---Galvanized/c/CT7184', 'https://www.gordonelectricsupply.com/p/Galvan-6258-5-8-X-8-Ul-Copper-Coated-Rod/6336822', 'https://www.homedepot.com/p/ERICO-5-8-in-x-8-ft-Copper-Ground-Rod-615880UPC/202195738', 'https://www.homedepot.com/p/ERITECH-5-8-in-x-8-ft-Galvanized-Ground-Rod-815880UPC/202195736', 'https://www.richardselectric.com/index.jsp?path=product&part=CLENCcb0fe8a5900b1d8e&ds=dept&process=search&qdx=0&ID=/Conduit_Fittings/Grounding_Service_Entrance/Grounding_Clamps_Rods/dept-2HC&title=ground_rod_5_8x8_gal_ground_rod', 'https://www.turtle.com/1245047/Product/galvan-industries-gr6258', 'https://missoula.portalced.com/Product/NEHRI/NCC588/']"
EMT 03490,"['https://www.mainelectricsupply.com/itemdetail/EMTEL40036R90D', 'https://www.hardwarestore.com/halex-emt-galvanized-steel-90-elbow-3-4.html']"
ETP 2239,['https://www.elliottelectric.com/P/Item/APP/7075S/']
SLI E1/2-34/40-P-UV,[]
THE TP701,"['https://www.eaton.com/us/en-us/skuPage.TP701.specifications.html', 'https://www.eaton.com/us/en-us/skuPage.TP701.html', 'https://www.amazon.com/Stranded-Grounding-Pigtail-Terminal-Screw-10/dp/B00VSSZFD0', 'https://www.rexelusa.com/usr/Root-Category/Connectors%2C-Crimps%2C-Termination/Grounding-Products/Ground-Pigtails/Pigtails---Solid-Wire/Cooper-Crouse-Hinds-TP701-GRND-SCREW-WITH-INSUL-NO-12-STRAND-WIRE/p/490975', 'https://www.rexelusa.com/usr/Root-Category/Connectors%2C-Crimps%2C-Termination/Grounding-Products/Ground-Pigtails/Pigtails---Solid-Wire/c/CT7933?text=&filter=&aliasname=&q=%3Arelevance%3Abrand%3ABR596%3Abrand%3ABR60']"
4SOLIDBARE,['https://www.ebay.com/p/1629092792']
DEP CP-S-3650,"['https://www.bulbs.com/Compact_Fluorescent_Plug--in/35W_--_39W/results.aspx', 'https://www.rexelusa.com/p/32838/sylvania-compact-fluorescent-lamp-4-pin-dulux-l-36w-3000k-046135205811-ft36dl-830-eco']"
UL B240R277,"['https://ballastshop.com/b240r277hp-universal-electronic-fluorescent-ballast-f40t12-277v/', 'https://www.citylightsusa.com/deltek-80205-ep275is-sl-2-lamp-f40t12-120-277-volt-rapid-start-electronic-ballast/']"
16/3SHLDTHHN,[]
ALP 5855-9,[]
NEE RB13,"['https://www.emisupply.com/catalog/topaz-rb13-reducing-bushing-steel-male-threaded-p-39666.html', 'https://www.elliottelectric.com/P/Item/CRS/RE62/', 'https://www.elliottelectric.com/P/Item/CRS/RE21/']"
ALP FIT-221-3/16WHITE,[]
ETP 2233,"['https://www.gordonelectricsupply.com/p/Bridgeport-252-1-In-Steel-Compression-Emt-Connector/5624246', 'https://www.elliottelectric.com/P/Item/APP/7100S/', 'https://www.amazon.com/ETP-6100S-steel-compression-coupling/dp/B07CL8TQJ6', 'https://www.mainelectricsupply.com/itemdetail/OZG7100S', 'http://www.bidnet.com/bneattachments?/450039149.xlsx', 'http://www.bidnet.com/bneattachments?/477220117.xlsx']"
ETP 2236,"['https://www.elliottelectric.com/P/Item/APP/6200S/', 'https://www.gordonelectricsupply.com/p/Egs-7200St-2-In-Ins-Comp-Emt-Conn/6048621']"
CC 068016304,['https://www.walmart.com/browse/home-improvement/extension-cords/conntek-isi/1072864_1067619_1231219/YnJhbmQ6Q29ubnRlayBJU0kie']
THE TP7066,"['https://www.amazon.com/Cooper-Crouse-Hinds-TP7066-Weatherproof-Outlet/dp/B07L9LHNCT', 'https://www.amazon.com/Cooper-Crouse-TP7066-Weatherproof-Outlet/dp/B06VT8QZMV']"
