12XHHW-2SIS,[]
ENT 16897307,['https://www.platt.com/platt-electric-supply/Accessories-Jumper-Bars/Entrelec/016897307/product.aspx?zpid=20218']
ENT 16511510,"['https://www.rexelusa.com/usr/Root-Category/Control%2C-Automation/Terminal-Blocks/Feed-Through-%26-Ground-Blocks/Terminal-Blocks---Grounding/Entrelec-016511510-Terminal-Block%2C-Ground%2C-10mm%2C-Type%3A-6-8-P%2C-Green-Yellow/p/271082', 'https://www.platt.com/platt-electric-supply/Feed-Through-Ground-Blocks-Terminal-Grounding/Entrelec/0165-113-16/product.aspx?zpid=20175', 'https://www.platt.com/platt-electric-supply/Feed-Through-Ground-Blocks-Terminal-10mm-Spacing/Entrelec/0115-120-17/product.aspx?zpid=20068', 'https://qfautomation.com/product-category/industrial-automation/']"
3THHNBLK,"['https://www.cooper-electric.com/product/detail/THHN-Copper-WIC-THHN-3-STR-BLK-1000R/?s=5368', 'https://www.elliottelectric.com/P/Item/COP/THHN30BK1000/', 'https://www.northcoast.com/product/detail/Copper-Building-Wire-THHN-3-BLK-19STR-CU-1000R/?s=1095195', 'https://www.gordonelectricsupply.com/p/thhn-3-0-str-blk-cut-1000-southwire-20507001/16632']"
10SOLWHT,"['https://www.iesupply.com/product/detail/THHN-Copper-WIC-THHN-10-SOL-WHT-500R?s=250', 'https://www.elliottelectric.com/P/Item/COP/THHN10S0LBK500/', 'https://www.frommelectric.com/3074481/p/n/generic-thhn-600-vac-1-10-awg-stranded-copper-conductor-500-ft-spoolreel-l-blue']"
UNI P1010,"['https://www.ebay.com/itm/LOT-OF-10-UNISTRUT-P1010T-EG-1-2-13-TOP-GRIP-CHANNEL-NUT-FOR-1-5-8-STRUT-/163854395953', 'https://www.platt.com/platt-electric-supply/Nuts-Washers-Strut-Spring-Nuts/Unistrut/P1010-EG/product.aspx?zpid=60024', 'https://rexel-cdn.com/Products/05B3B13E-002C-40FB-8358-C78A37FCA2FA/05B3B13E-002C-40FB-8358-C78A37FCA2FA.pdf']"
16/2PR SP/OS LSZH K1,[]
16/3 SHD LSZH K1 600V,[]
ENT 11523710,[]
12SOLBLK,['https://www.mainelectricsupply.com/itemdetail/12BLKSOL']
12SOLGRN,"['https://www.capitalelectricsupply.com/product/detail/THHN-Copper-WIC-THHN-12-SOL-GRN-2500R?s=7419', 'https://www.inlineelectric.com/buy/product/building-wire-27267-product-building-wire/27267', 'https://www.cooper-electric.com/product/category/46294', 'https://ebhorsman.com/itemDetail?p=32486', 'https://www.worldelectricsupply.com/product/productsearch/6085?idDesc=Stranded&sortOrder=Default']"
EVR EN93,['https://www.vallen.ca/products/150-electrical/02-batteries/p-ZXZyIGVuOTM=-energizer-en93-industrial-battery-alkaline-zinc-manganese-dioxide-15-v-c']
RYC GS54,['https://platt.com/platt-electric-supply/Heat-Cable-Accessories-Tape-Labels/nVent-Raychem/GS-54/product.aspx?zpid=644537']
DWY 2001LT,[]
EFX LA15,"['https://www.standardelectricsupply.com/Electri-Flex-LA15-GRY-1-1-2-50FT-Electrical-Conduit', 'https://www.amazon.com/Electri-flex-Liquidtight-Flexible-Conduit-Carton/dp/B00U895UQM', 'http://www.tnb.com/pubint/docs/shureseal_eu.pdf']"
EFX LA16,['https://www.standardelectricsupply.com/Electri-Flex-LA16-GRY-2-IN-50FT-Electrical-Conduit']
OMN A30803,['https://www.platt.com/platt-electric-supply/Tray-Cable-VNTC/Omni-Cable/A30803/product.aspx?zpid=659290']
