DWY 2001LT,[]
OMN A30803,"['https://www.platt.com/platt-electric-supply/Tray-Cable-VNTC/Omni-Cable/A30803/product.aspx?zpid=659290', 'https://www.gexpro.com/usg/Root-Category/Wire%2C-Cable%2C-Cord/Control-Cable/Tray-Cable/Tray-Cable---SDT-TC/Omni-Cable-A31203-Tray-Cable%2C-Type-TC-ER%2C-12-AWG%2C-3-Conductor-w-Ground%2C-600V/p/326968']"
OMN A31003,"['https://www.gexpro.com/usg/Root-Category/Wire%2C-Cable%2C-Cord/Control-Cable/Tray-Cable/Tray-Cable---SDT-TC/Omni-Cable-A31203-Tray-Cable%2C-Type-TC-ER%2C-12-AWG%2C-3-Conductor-w-Ground%2C-600V/p/326968', 'https://www.gexpro.com/usg/Root-Category/Wire%2C-Cable%2C-Cord/Industrial-Wire-%26-Cable/Tray-Cable/Tray-Cable---VNTC/Omni-Cable-A30603-Tray-Cable%2C-Type-TC-ER%2C-6-3-with-Ground%2C-PVC-Jacket/p/65731', 'https://www.rexelusa.com/p/115569/omni-cable/tray-cable-type-tc-er-3-0-3-with-ground-pvc-jacket/a33-003']"
PVC 112,"['https://www.platt.com/platt-electric-supply/PVC-Straight-Conduit-Schedule-40/Multiple/112P/product.aspx?zpid=69114', 'https://www.keelectricsupplycorp.com/catalog/shop/CONDUIT-FITTINGS/EMT-Elbow/dept-5XB?process=search&itemsperpage=60&sortby=priceLH&display=text&fqall=&fqv=&fq=&sf=&allnstr=&ph=&pl=&qdx=0&nstr=&narrowby=&pagenum=7', 'https://www.gexpro.com/p/1042752/lasco-fittings/847030-3-cap-s/025528721725/847-030']"
HARTING 09330242601,"['https://www.ebay.com/itm/HARTING-09330242601-Insert-500-V-16-A-Male-24-RoHS-Compliant-24-B-Product/192893216793', 'https://www.empirewc.com/collections/harting/products/ht-0933-024-2601', 'https://www.ebay.ca/itm/Harting-09-33-024-2601-Male-Cable-Plug-with-Aux-Contact-blk-09330242601-NEW-/201077977208']"
HON 24001660-137,[]
ING 30562664,[]
WEI 1609860000,"['https://www.rexelusa.com/usr/Root-Category/Control%2C-Automation/Terminal-Blocks/Marking-Cards-%26-Strips/Terminal-Marking-Cards---Blanks/Weidmuller-1609860000-Terminal-Block%2C-Marker%2C-12mm-x-5mm%2C-White%2C-Fits-Allen-Bradley/p/117476', 'https://www.amazon.com/WEIDMULLER-1609860000-TERMINAL-MARKER-PACK-720/dp/B00DK88PHE']"
WEI 128347000,[]
SIE 6EP1333-2BA20,"['https://mall.industry.siemens.com/mall/en/ww/Catalog/Product/6EP1333-2BA20', 'https://www.springfieldelectric.com/d/Siemens-6EP13332BA20/2550129', 'https://www.electricautomationnetwork.com/en/siemens/6ep1333-2ba20-6ep13332ba20-siemens-sitop-psu100s-24-v-5-a-stabilized-power-supply-input-120-230-v-ac-output-']"
6THHNBLKM,['https://www.mainelectricsupply.com/itemdetail/6BLKSTR1000R']
POL 2640,[]
POL 2642,[]
PS PS640F1,['https://www.ebay.com/itm/Power-Sonic-6V-4-5Ah-PS-640-PS640F1-UB645-Replacement-SLA-Battery-NEW-/292311427586']
8THHNBLK,['https://www.mainelectricsupply.com/itemdetail/8BLKSTR']
4/0-7MHDBC,
6THHNGRNM,[]
16/8TRI ST/OS LSZH K1,[]
PS PS12100F1,[]
12THHNGRN,"['https://www.frommelectric.com/3086839/p/n/generic-thhn-building-wire-600-vac-1-12-awg-stranded-copper-conductor-500-ft-spoolreel-l-green', 'https://www.platt.com/platt-electric-supply/THHN-Copper-Stranded-12-AWG/Multiple/12THHNCSTRGREX500/product.aspx?zpid=62623']"
12/2 NM-B W/GRD,"['https://www.southwire.com/wire-cable/building-wire/romex-brand-simpull-type-nm-b-cable/p/55048421', 'https://www.ebay.com/p/27033695078']"
8/3W/GTHHN,['https://www.platt.com/platt-electric-supply/Tray-Cable-VNTC/Multiple/83TCDBWGX10000/product.aspx?zpid=355997']
UNI P1006-1420-EG,['https://www.amazon.com/Unistrut-P1006-1420-Channel-Spring-Finish/dp/B015DG3OVW']
BRA PTL-19-427,"['https://www.bradyid.com/wire-cable-labels/bmp71-bmp61-m611-tls-2200-self-laminating-vinyl-wire-cable-labels-cps-2911885?part-number=ptl-19-427', 'https://www.elliottelectric.com/P/Item/BRA/PTL19427/', 'https://www.shepherdelec.com/index.jsp?path=product&part=46779&ds=mfr&process=search&qdx=0&ID=%2CBrady.Worldwide%2Cmfr-1VW&title=brady.worldwide.ptl.19.427', 'https://www.stateelectric.com/products/brady-ptl-19-427/']"
BRA M61-R4310,"['https://www.bradyid.com/ribbons-cartridges/bmp61-m611-r4300-series-printer-ribbon-pid-m61-r4310', 'https://www.bradyid.com/en-us/product/m61-r4310', 'https://www.datacomtools.com/store/M61-R4310.html']"
PVC 100MA,"['https://www.rexelusa.com/p/30634/1-pvc-male-terminal-adapter/088700567382/100ma', 'https://www.gexpro.com/p/177546/1-pvc-box-adapter-088700567269-100ba', 'https://www.gexpro.com/p/27381/conduit-strap-2-hole-size-1-material-pvc/980060069431/100condclmp2hole', 'https://rexel-cdn.com/Products/3D537F4A-5FF5-4419-873B-80918A1F90B2/3D537F4A-5FF5-4419-873B-80918A1F90B2.pdf']"
EVR E96BP-2,['https://www.ebay.com/p/710182313']
FAS 63135,"['https://www.ebay.com/itm/3-5-lb-Coil-16-Gauge-Stainless-Steel-Tie-Wire-336-feet-304-Type-/121648843602', 'https://www.ebay.com/p/1938181898']"
HUB WS2000W,"['https://www.springfieldelectric.com/d/Hubbell-Wiring-Device-Kellems-WS2000W/2563802', 'https://www.unitedelectric.com/buy/product/hubws2000w-occ-vac/528730']"
8THHNBLKM,"['https://www.gordonelectricsupply.com/p/thhn-8-str-black-1000-reel-southwire-20488306/34612', 'https://store.usesi.com/wcu-thhn-8-cu-stranded-black-1000-stranded-copper-thhn-cable-8-awg-1000-ft-reel-black-9411', 'https://www.platt.com/platt-electric-supply/THHN-Copper-Stranded-8-AWG/Multiple/8THHNCSTRBLAX1000/product.aspx?zpid=69609']"
FLE 5602.021.221,[]
ILS AU350,"['https://www.platt.com/platt-electric-supply/Mechanical-Lugs-Aluminum-2-Conductor/Ilsco/AU-350/product.aspx?zpid=29132', 'https://www.mainelectricsupply.com/itemdetail/ILSAU350', 'https://www.springfieldelectric.com/d/ILSCO-AU-350/2899409', 'https://www.standardelectricsupply.com/ILSCO-AU-350-Mechanical-Connector', 'https://www.galco.com/buy/Ilsco/AU-350', 'https://www.iesupply.com/product/detail/Ilsco-Corporation-AU-350/?s=18024', 'https://www.mrsupply.com/ilsco-aluminum-mechanical-lug-au-350.html']"
14/2THHN,['https://www.platt.com/platt-electric-supply/Tray-Cable-VNTC/Multiple/144TCDBX5000FT/product.aspx?zpid=618900']
16/7THHN,['https://www.nassauelectrical.com/products/16-7-thhn-shielded-tray-cable']
TCNH12/3GGT,[]
8THHNWHT,[]
BEL 8719,"['https://www.empirewc.com/products/bel-8719', 'https://www.newtechindustries.com/belden-8719-1-pair-16-awg-19x29-strands-tinned-copper-1000/', 'https://www.nassauelectrical.com/products/belden-9414-cable-22-awg-1-pair-overall-beldfoil-shield-audio-control-and-instrumentation-stranded-7x30-pvc-jacket-cable']"
RAY RL123A-1,"['https://www.ebay.com/p/1000199151', 'https://www.ebay.com/itm/Rayovac-RL123A-3V-Lithium-Photo-Electronic-Battery-/232354322579']"
TCNH2/03G,[]
CAB CT-MPBC,[]
10THHNBRN,"[""https://www.scottelectricusa.com/online-store/product/10-awg-stranded-thhn-copper-cu-building-wire-brown-500-ft-500-feet-500-foot-500'/36283"", 'https://www.ebay.com/p/1600860654']"
