CPI G21,[]
AMP 893106B-14S-6S,[]
12-02FPLR,"['https://www.gordonelectricsupply.com/p/Southwire-57560902-12-2C-Sol-Bc-N-S-Fplr-Red/6664440', 'https://www.platt.com/CutSheets/Multiple/fire-alarm-cables.pdf', 'https://www.cesco.com/resources/pdf_663/100109-Catalog.pdf']"
THE TP513,"['https://www.amazon.com/Cooper-Crouse-Hinds-Square-Exposed-Raised/dp/B002KK9J5K', 'https://cedanacortes.portalced.com/Product/CHE/TP513/', 'https://store.usesi.com/crouse-hinds-tp513-steel-raised-surface-cover-with--1--gfci-receptacle-opening-4-inch-x-4-inch-x-1-2-inch-66831', 'https://www.platt.com/platt-electric-supply/4-Square-Boxes-Accessories-Covers/Cooper-Crouse-Hinds/TP513/product.aspx?zpid=721665', 'https://www.codale.com/product/productsearch/60?idDesc=Industrial+Raised+Covers&sortOrder=Default']"
16MTWWHT,[]
16MTWRED,"['https://www.empirewc.com/collections/mtw-wire/products/mtw-16g-03', 'https://www.capitalelectricsupply.com/product/detail/Miscellaneous-MTW-Wire-WIC-MTW-16-STR-RED-500R?s=64404', 'https://www.gexpro.com/usg/Root-Category/Wire%2C-Cable%2C-Cord/Machine-Tool-Wire/MTW/MTW---16-AWG/Multiple-MTW16STR264REDWHT500RL-16-AWG-MTW-Stranded-Copper%2C-Red-White-Stripe%2C-500%27/p/681976', 'https://www.rexelusa.com/p/66155/16-awg-mtw-stranded-copper-red-2500/mtw16str264red2500rl']"
BEL 9730,['https://www.empirewc.com/products/bel-9730']
CAR 3150,['https://genshin.mihoyo.com/en/news/detail/8598']
OMN J562304-08,"['https://platt.com/platt-electric-supply/Category-Cables-CAT-6A-Non-Plenum/Omni-Cable/J562304-08/product.aspx?zpid=10255592', 'https://www.gexpro.com/p/214583/superior-essex/category-6-cable-cmr-23-awg-4-pair-blue/54-246-2a']"
TCNH12/3,['https://www.showmecables.com/12-awg-multi-conductor-600v-stranded-conductor-unshielded-vntc-tray-cable']
TCNH14/4T,[]
