16/1PRSHLD,[]
RYC 8BTV1CT,['https://ebhorsman.com/category-items?type=heating-cable-systems-tracing&cat=491501']
OMN Q10601,[]
10THHNPUR,"['https://www.platt.com/platt-electric-supply/THHN-Copper-Stranded-10-AWG/Multiple/10THHNCSTRPURX500/product.aspx?zpid=62588', 'https://www.frommelectric.com/3074481/p/n/generic-thhn-600-vac-1-10-awg-stranded-copper-conductor-500-ft-spoolreel-l-blue', 'https://www.mainelectricsupply.com/itemdetail/12PURSTR']"
KIL GRE-BC,['https://www.platt.com/platt-electric-supply/NEMA-7-9-Industrial-Enclosures-Hazardous-Locations/Hubbell-Killark/EXB-684-N34/product.aspx?zpid=1135667']
2/3 W/GND XLP/PVC,['https://www.nassauelectrical.com/products/xhhw-power-cable-3-conductor-with-ground-type-tc']
ORI LFG120B,"['https://www.ebay.com/itm/Orion-Fans-LFG120B-Fan-Guard-Filter-System-/293627047553', 'https://www.amazon.com/Orion-Electronics-LFG120B-Accessory-Louvered/dp/B00DDDPGKK']"
BEL 8520,"['https://catalog.belden.com/index.cfm?event=pd&p=PF_8520', 'https://www.ebay.com/itm/Belden-8520-006-Hook-up-Wire-14AWG-1C-PVC-100ft-SPOOL-LT-BLUE-/332943578742']"
8/3SO,[]
10SOLGRN,"['https://www.iesupply.com/product/detail/THHN-Copper-WIC-THHN-10-SOL-GRN-500R/?s=268', 'https://store.usesi.com/thhn-10-sol-grn-500s-solid-copper-thhn-cable-10-awg-500-ft-spool-green-8644', 'https://www.elliottelectric.com/P/Item/COP/THHN10S0LGN500/', 'https://www.capitalelectricsupply.com/product/category/40524']"
INT LC4535,['https://punchout.gexpro.com/usg/Root-Category/Lighting%2C-Lighting-Controls/Photocells/Photo-Controls/Locking-Type-Mounted/Intermatic-LC4536LAC-120-277V-50-60Hz-1000-2300W-%22T%22-W-LTG-LK/p/76631']
10SOLRED,['https://www.mainelectricsupply.com/itemdetail/10REDSOL']
CONCH 2TRIPLEX,['https://www.elliottelectric.com/P/Item/ALU/2TRIPLEX1800/']
12MTWBLU,"['https://www.edwardssupply.com/trade-service/wire-cords-cables/portable-cords-cables/600v-heavy-duty-cord-cable/mtw-awm-tew-tff-600v-hook-up-wire/-12mtwblue-73764.html', 'https://www.tooleandrosesupply.com/brand-southwire/12-mtw-blu-25mr-rohs/sku-V3864-411040906', 'https://www.auraelectricsupply.com/brand-southwire/12-mtw-red-25mr-rohs/sku-V3864-411040904']"
ALP FIT-221-1/2,[]
2/0THHNBLK,"['https://www.elliottelectric.com/P/Item/COP/THHN20BK1000/', 'https://www.platt.com/platt-electric-supply/THHN-Copper-Stranded-2-0-AWG/Multiple/2ATHHNCSTRBLAX1000/product.aspx?zpid=70180']"
HN-RANJ-ADT,[]
SLAA12-2.0F,['https://www.walmart.com/ip/BatteryGuy-Battery-BG-1229F1-12V-2-9AH-SLA-Replacement-for-Duracell-SLAA12-2-9F-battery-rechargeable/628865303']
SLAWK12V600,['https://www.batterysystems.net/noco-genius10-6v-12v-10-amp-smart-battery-charger']
WK9VB,"['https://www.ebay.com/p/2283125879', 'https://www.ebay.com/itm/9V-Batteries-WERKER-Industrial-6-Pack-BONUS-AAA-8-Pack-W-Purchase-/274395451037', 'https://www.upcitemdb.com/upc/840821013410']"
HN-MFG-XL-SYS,['https://en.wikipedia.org/wiki/Wikipedia:Shortcut_table/uppercase']
DIG 941-1808-ND,[]
HN-PAD-EMI,['https://www.dhs.gov/terms']
HN-BC-5,[]
HN-RMSZ,[]
HN-VEST,[]
