HN-BC-5,[]
HN-RMSZ,[]
HN-VEST,['https://www.walmart.com/c/ep/safety-vests']
MPH BF2R-04X2-EZ,[]
16/1PR SHD GENFREE,[]
FEI ESL13T/R,"['https://lightbulbsurplus.com/products/longstar-fe-iis-13w-r-13w-120v-60hz-240ma-red-cfl-light-bulb.html', 'https://ilighting.com/products/feit-electric-esl13t-bw-13w-ecobulb-plus-brightwhite-cfl-lamp.html']"
ATL FB31/835/ECO,"['https://www.amazon.com/Pack-Sylvania-21878-Fluorescent-Curvalume/dp/B07J5XYTCZ', 'https://www.halcolighting.com/index.jsp?path=product&part=1960&ds=dept&process=search&qdx=0&ID=%2CLamps%2CLinear.Fluorescent%2CU.Bend%2Cdept-1L3', 'https://www.1000bulbs.com/product/2854/FB-31T8835H.html']"
PAI 74KP012666,[]
6/3W/GXLINK,[]
CONW62,[]
BUR YA28L4BOX,"['https://www.northcoast.com/product/detail/Burndy-YA28L4BOX/?s=81842', 'https://www.springfieldelectric.com/d/Burndy-YA28L4BOX/61547', 'https://www.irby.com/product/detail/Burndy-YA28L4BOX/?s=7015', 'https://www.turtle.com/999665/Product/burndy-ya28l4box', 'https://www.hubbell.com/burndy/en/Products/Power-Utilities/Connectors/Lugs-Terminals/Compression/Non-insulated-Tin-Plated/YA28L4BOX/p/1694178', 'https://webstore.servelectric.com/Product/BURNDY-FCI-/285739-BURYA28L4BOX', 'https://www.elliottelectric.com/P/Item/BUR/YA28/', 'https://www.crum.com/2296485/Product/Hubbell_YA28L4BOX']"
CIS 72-3383-1-20,['https://www.diablocable.com/14788.html']
750MCMTHHN,"['https://www.nassauelectrical.com/products/750mcm-thhn-thwn-2-copper-wire', 'https://www.platt.com/platt-electric-supply/THHN-Copper-Stranded-750-MCM/Multiple/750THHNCSTR1500MCR/product.aspx?zpid=62737']"
12THHNBLU25,[]
2THHNRED,[]
VB287,[]
ALP FIT-221-3/16BLUE,[]
GRC 114,"['https://www.platt.com/platt-electric-supply/Conduit-Straight-Steel-Rigid-Conduit/Multiple/114R/product.aspx?zpid=65847', 'https://www.platt.com/platt-electric-supply/Conduit-Elbows-Rigid-90-/Multiple/114R90/product.aspx?zpid=16197', 'https://www.elliottelectric.com/P/Item/CON/GAL114/']"
MAD LNS-75-I,"['https://www.cesco.com/Madison-LNS-75-I-Madison-LNS-75-I-Sealing-Locknuts-With-Gasket-3-4-Inch-Steel-Locknut-With-PVC-Molded-Gasket/p1956175', 'https://meproducts.net/products/product-categories/rigid-imc-conduit-fittings/sealing-locknuts-steel']"
TCNH10/3,[]
UNI P1117EG,['https://www.platt.com/platt-electric-supply/Pipe-Conduit-Clamps-Strut-Clamp-Rigid/Unistrut/P1117-EG/product.aspx?zpid=60050']
UNI HSQN050EG,['https://www.rexelusa.com/usr/Root-Category/Fittings/Strut---Fittings-%26-Support/Nuts-Washers/Square-Channel-Nuts/Unistrut-HSQN050-EG-UNS-HSQN050-EG-SQUARE-NUT/p/578072']
HAL 250R40/HR,['https://www.bulbs.com/product/250R40-HR-120V-4-1-TP']
UNI P2558-07 EG,['https://www.platt.com/platt-electric-supply/Pipe-Conduit-Clamps-One-Piece-Strut-Clamp/Unistrut/P2558-07-EG/product.aspx?zpid=60124']
12/3 GENFREE,['https://www.nassauelectrical.com/products/12-awg-3c-type-p-unarmored-power-cable-600v-1000v']
TERASD14-1/3 TERMINATION KITS,nan
ADV 78E6542001,"['https://www.rexelusa.com/usr/Root-Category/Lamps%2C-Bulbs%2C-Ballasts/Ballasts---HID/Ballast---Metal-Halide/MH-Ballast---Core-%26-Coil/Philips-Advance-78E6542001-Magnetic-Core-%26-Coil-Ballast%2C-Metal-Halide%2C-1000W%2C-480V-Discontinued-/p/137622', 'https://www.rexelusa.com/p/137622/philips-advance/magnetic-core-coil-ballast-metal-halide-1000w-480v-discontinued-/78e6542001', 'https://www.unitedelectric.com/buy/product/ADVANCE-78E6542001-BALLAST-METAL-HALIDE-LAMP-TYPE-MH-NUMBER-OF-LAMPS-1-BALLAST-TYPE-MAGNETIC-HID-VOLTAGE-120-277-WATTAGE-1000/301039', 'https://www.northcoast.com/product/detail/Advance-Transformer-78E6542001/?s=220244', 'https://www.gordonelectricsupply.com/p/Advance-71A6542-001-1000Mh-480V/7239', 'https://www.bulbsdepot.com/78e6542-001.html']"
FLE FSGRY20,"['https://www.walmart.com/ip/Flex-Seal-Liquid-Aerosol-Rubber-Sealant-Coating-14-oz-Silver/45925399', 'https://www.ebay.com/p/10007485227']"
UNI HHXN050EG,['https://www.galco.com/buy/Unistrut/HHXN050EG']
ENT 16307226,[]
GRC 212,"['https://www.platt.com/platt-electric-supply/Conduit-Straight-Steel-Rigid-Conduit/Multiple/212R/product.aspx?zpid=65930', 'https://www.platt.com/platt-electric-supply/Conduit-Elbows-Rigid-90-/Multiple/212R90/product.aspx?zpid=16305', 'https://www.elliottelectric.com/P/Item/CON/GAL212/', 'https://www.frommelectric.com/135625/category/galvanized-rigid-conduit-grc', 'https://www.frenchgerleman.com/149579/Category/Galvanized-Rigid-Conduit-(GRC)', 'https://www.revereelectric.com/231664/Category/metallic-conduit']"
4-7MHDBC,[]
PECO 105R,['https://www.diversitech.com/en-US/item/id/8638']
BEL 8723,"['https://www.showmecables.com/belden-8723-2-pair-22-awg-shielded-low-voltage-pvc-cable', 'https://www.nassauelectrical.com/products/belden-8723-22-awg-2-pairs-shielded-twisted-paired-pvc-jacket-cable', 'https://www.newtechindustries.com/beleden-8723-audio-control-and-instrument-cable-twisted-pairs-22-awg-7x30-tc-conductors-1000/']"
LEC D52322,nan
PAN CR2016,[]
LED RPLB-0201-28V,[]
ING 37034618,[]
ASH 45-1279SS-04L-XOSPD 300,['https://www.amazon.com/Winters-Instruments-PFQ807R1-Stainless-Internals/dp/B08ZJQR92W']
ING 37157914,[]
GST-029-438-24LG,[]
CC 00696.63.04,"['https://www.gordonelectricsupply.com/p/Carol-00696-63-04-12-3-50Ft-Ext-Crd/6553057', 'https://www.walmart.com/ip/Carlon-00696-63-04-12-3-50FT-EXT-CRD/170052046']"
UNI P1026GR,[]
20/16PR SP/OS LSZH K1,[]
16MTWYEL,[]
GE GERB24S5A,"['https://www.ebay.com/itm/GE-GERB24S5A-400W-480V-Ballast-Kit-High-Pressure-Sodium-Replacer-/173946528292', 'https://www.ebay.com/itm/GE-GERB24SOA-REPLACER-BALLAST-KIT-/302886840184', 'https://www.gexpro.com/usg/Root-Category/Lamps%2C-Bulbs%2C-Ballasts/Ballasts---HID/c/CT129?q=%3Arelevance%3Abrand%3ABR535%3Abrand%3ABR1213&text=&filter=&aliasname=&partialSearch=', 'https://www.ebay.ca/itm/373570388712']"
SOU 65676902,"['https://www.irby.com/product/detail/Miscellaneous-Cord-Cable-Wire-65676902?s=3107141', 'https://www.ebay.com/itm/Power-Limited-Circuit-Thermostat-Cable-65676902-Tstat-18-8Sol-Cu-250-ft/153545711481']"
SOU 69212901,['https://www.mayerelectric.com/Product/SOUTHWIRE-TSTAT-20-8-SOL-CU-CL2-BN-UL-250SP-032886024795']
DUA 12-269,[]
14THHNGRY,['https://www.platt.com/platt-electric-supply/THHN-Copper-Stranded-14-AWG/Multiple/14THHNCSTRBLAX500/product.aspx?zpid=62658']
CONW69,['https://www.gexpro.com/usg/Brand/Omni-Cable/Omni-Cable-CONW69-CONNECTORS-FOR-10-3MC-CABLE/p/1021437']
BRA PSPT-187-1-WT,"['https://www.bradyid.com/en-us/product/pspt-187-1-wt', 'https://www.bradyid.com/wire-cable-labels/heat-shrink-sleeves/bmp71-bmp61-m611-tls-2200-permasleeve-polyolefin-20-to-10-gauge-wire-marking-sleeves-cps-2890670?part-number=pspt-187-1-wt', 'https://www.elliottelectric.com/P/Item/BRA/PSPT1871WT/', 'https://www.alliedelec.com/brady-pspt-187-1-wt/70838804/', 'https://www.gexpro.com/p/70489/brady/wire-marker-sleeves-176-x-0335/662820184652/pspt-187-175-wt', 'https://ebhorsman.com/category-items?type=tls-2200-printers&cat=786008', 'https://www.walmart.com/ip/Brady-ID-PSPT-187-1WT-0-335-x-1-015-in-PermaSleeve-Heat-Shrink-44-White-100-Per-Roll/991407229']"
10/5 LSZH K2,[]
GED 4-150,[]
20/2PR SP/OS LSZH 300V K1,[]
350RHHRHW,['https://www.nassauelectrical.com/products/350mcm-aluminum-xlp-use-rhh-rhw-wire']
CAT6BLUE,"['https://www.startech.com/en-us/cables/c6patch6bl', 'https://www.cablewholesale.com/products/network-phone/cat-6-bootless-cables/product-10x8-16110.php', 'https://www.cablewholesale.com/products/network-phone/cat-6-bootless-cables/product-10x8-161hd.php', 'https://www.cables.com/15ft-cat6-blue-550mhz-plenum-rated-network-patch-cable.html']"
12/7XLINK,['https://www.amazon.com/7-SOOW-Black-600V-Portable-Cable/dp/B07GPG36MN']
1/0THHNGRN,"['https://www.platt.com/platt-electric-supply/THHN-Copper-Stranded-1-0-AWG/Multiple/1ATHHNCSTRBLAX500/product.aspx?zpid=70170', 'https://www.southwire.com/wire-cable/building-wire/simpull-thhn-copper-wire/p/20505402', 'https://media.distributordatasolutions.com/southwire/2016q3/67e26728add874f4b6376bec19636e6c32d70b41.pdf']"
PAN UTPSP3BUY,['https://www.vanmeterinc.com/catalog/datacomm/copper-patch-cords/category-6-booted/panduit-utpsp3buy']
ENT 11849923,['https://www.kirbyrisk.com/store/ent-conduit/']
EDW 125LEDSG-120A,"['https://www.standardelectricsupply.com/Edwards-Signaling-125LEDSG120A-Indicator-Or-Pilot-Light', 'https://shop.kendallelectric.com/buy/product/125LEDSG120A-EDWARDS-125-LED/3713961?process=&previous=22489', 'https://store.usesi.com/edwards-125ledsg120a-120-volt-ac-class-125-standard-steady-on-led-beacon-green-lens-gray-base-550730', 'https://www.galco.com/buy/Edwards-Signaling/125LEDSG120A', 'https://shop.pepconet.com/buy/product/edwards-125ledsg120a/500584?ID=/Edwards-Company/mfr-6JT', 'https://www.platt.com/platt-electric-supply/Beacons-Beacon-Permanent/Edwards/125LEDSG120A/product.aspx?zpid=870390']"
UNI P1325EG,"['https://www.ebay.com/itm/6-Power-Unistrut-P1325-EG-5-Hole-90-Degree-Angle-Connector-Bracket-Gold-Finish-/164610259788', 'https://www.ebay.com/itm/363019903987', 'https://shop.kendallelectric.com/buy/product/p1325eg-unistrut/2600405']"
SUP ISO432178,[]
OMN I42002-KX,[]
14/19XLINK,['https://www.tripplite.com/heavy-duty-computer-power-cord-16a-14awg-iec-320-c14-to-iec-320-c15-10-ft~P018010']
ING 39454533,['http://www.airengineering.com/39454533/']
HOU HW10601601,"['https://www.adiglobaldistribution.us/Product/Q3-HW1601601', 'https://www.neobits.com/houston_wire_cable_hw10601601_16awg_1pr_2c__p12648588.html']"
CORN CGS173U075W4C,[]
BEL 9512,['https://www.empirewc.com/collections/belden/products/bel-9512']
AME 163949,[]
12THHNWHT25,"['https://www.platt.com/platt-electric-supply/THHN-Copper-Stranded-12-AWG/Multiple/12THHNCSTRORAWHI2500/product.aspx?zpid=150967', 'https://www.elliottelectric.com/P/Item/COP/THHN12STWH500/']"
UPG UB1250,"['https://www.ebay.com/p/1300107362', 'https://www.ebay.com/p/3014682874', 'https://www.batteryspecialist.ca/upg-ub1250-12v-5ah-sla-battery-combo-with-charger/', 'https://www.apexsuperstores.com/upg-ub1250-12v-5ah-f2-agm-battery-buying-guide-sku-d5777/']"
ING 39568092,['http://www.airengineering.com/39568092/']
BEL 1032A,['https://www.nassauelectrical.com/products/belden-1032a-18-awg-1-pair-300v-pltc-multi-conductor-cable']
PHO HWS16233,['https://www.walmart.com/c/kp/electrical-crimping-tools']
AMP MS3106A16S-1S,"['https://www.ebay.com/itm/MS3106A16S-1S-connector-plug-female-no-cord-grommet-included-/233057374136', 'https://www.ebay.com/p/1054503879']"
COM LCCLCCPD10UPSM,"['https://www.cdw.com/product/proline-10m-lc-m-to-lc-m-yellow-os2-duplex-fiber-ofnr-patch-cable/3272014', 'https://www.amazon.com/FiberCablesDirect-Multimode-Options-0-5M-300M-10gbase/dp/B0099S4Q5Y', 'https://www.prolabs.com/products/patch-cables/industry-standard/cab-os1-lc-lc-10m', 'https://www.fs.com/products/40251.html', 'https://www.tripplite.com/singlemode-fiber-patch-cable-9-125-lc-lc-10m-33-ft~N37010M', 'https://www.tripplite.com/multimode-fiber-patch-cable-62-5-125-lc-lc-10m-33-ft-red~N32010MRD', 'https://www.addonnetworks.com/products/patch-cables/industry-standard/add-lc-lc-10m5om3']"
ALU 300CPLG,[]
EVR A23,"['https://www.walmart.com/ip/Energizer-A23-Batteries-Miniature-Alkaline-12V-Batteries-2-Pack/17165774', 'https://www.target.com/p/energizer-2pk-a23-batteries/-/A-14490393', 'https://www.walmart.com/ip/A23-12V-Alkaline-23-A-replacement-battery-23AE-GP-5-Pack/533049970']"
DAN 042N7551,['https://shoptransmitter.com/ba024d-coil-24vdc-ip00/']
